91 Fieldstone Center,11/19/2002,7/31/2021
1 Monterey Trail,9/12/1987,10/13/2018
409 Mitchell Pass,7/23/1980,6/7/2020
64337 Upham Road,2/26/1992,8/22/2021
9 Schmedeman Circle,1/20/2001,12/11/2020
687 Old Shore Park,3/18/1975,7/1/2018
303 Longview Crossing,8/17/1992,7/13/2017
7 Manley Avenue,4/26/1986,12/8/2020
82157 Bartelt Court,9/16/1990,4/8/2018
4688 Annamark Avenue,2/11/1967,9/27/2018
6 Rusk Place,8/30/1970,8/10/2020
4 Anthes Drive,7/31/1986,2/2/2018
6535 Bobwhite Parkway,9/9/1976,10/26/2019
5 Fairfield Center,10/14/1988,11/13/2016
23 Spohn Center,12/28/1970,7/4/2019
70 Oxford Drive,4/19/2003,8/9/2019
0736 Mcguire Way,10/27/1995,12/29/2016
1370 Orin Park,12/2/1972,11/30/2019
8977 Rowland Place,3/31/1967,11/20/2018
1010 Nelson Parkway,6/4/1965,4/25/2017
61904 Mariners Cove Center,6/16/2003,2/17/2018
69317 Jenifer Drive,3/24/1995,10/12/2020
91920 Hazelcrest Drive,7/27/1995,9/23/2019
8 Evergreen Place,7/16/1978,7/8/2021
14 Armistice Terrace,6/7/1979,2/25/2020
34068 Hazelcrest Pass,11/5/1991,4/9/2017
8 Bartillon Pass,10/12/1990,1/5/2018
350 Del Sol Lane,7/16/1963,1/2/2019
3553 Iowa Street,9/23/1997,10/18/2017
72 Mesta Drive,6/18/1976,7/24/2020
4024 Pankratz Street,3/3/1966,12/7/2017
6 Old Gate Lane,12/23/1965,3/20/2019
1879 Emmet Point,1/20/1995,2/27/2018
37220 Caliangt Center,12/25/1982,2/14/2017
09666 Ilene Terrace,7/16/1989,11/9/2019
50559 American Ash Alley,4/27/2003,1/10/2018
0 Burrows Point,5/2/1981,6/13/2019
5 Mifflin Park,8/21/1972,12/16/2016
40 Armistice Road,1/9/1989,9/25/2018
566 Mifflin Place,12/13/2003,1/14/2021
57104 Arkansas Road,4/9/1977,11/8/2017
83340 Washington Alley,9/20/2005,2/5/2017
1536 Hagan Hill,1/19/1992,4/11/2021
92 Fairfield Road,5/22/1967,2/26/2020
675 Summit Drive,11/12/1990,9/25/2017
5547 Mccormick Way,10/9/1990,10/26/2017
0 Union Drive,11/14/1973,3/20/2019
91823 Hayes Point,7/31/1968,10/8/2019
6518 Reindahl Plaza,11/7/1963,3/28/2020
5172 Marquette Court,1/14/1974,7/19/2020
24 Utah Trail,7/23/1991,5/31/2017
20616 Grasskamp Place,2/3/1997,10/8/2019
1419 Chinook Drive,10/13/1963,8/21/2017
2 Northridge Hill,7/25/1996,2/12/2018
674 Burrows Hill,1/2/1996,9/17/2019
1 Crest Line Circle,2/13/1995,5/22/2017
35311 Lukken Way,12/7/1997,8/26/2019
2 Lerdahl Alley,2/12/2003,3/8/2017
39 Sachs Place,4/6/1978,6/10/2018
3 Cascade Crossing,6/25/1988,5/11/2018
1 Sherman Alley,12/2/1970,1/26/2019
0 Starling Circle,7/30/1980,10/9/2018
3 Comanche Plaza,5/5/1993,9/13/2017
8 Bowman Avenue,2/19/1983,3/12/2017
09289 Marquette Junction,3/12/1990,12/29/2018
4 Union Pass,1/1/1971,5/2/2021
53 Cottonwood Crossing,1/10/2002,1/6/2021
852 Westport Hill,7/5/1989,5/3/2020
289 Pleasure Drive,7/3/1996,10/4/2017
75 Bartillon Lane,1/23/2000,7/3/2019
24251 Ruskin Parkway,9/29/1982,5/26/2021
097 Jay Junction,11/28/2004,5/30/2018
2434 Parkside Place,2/3/1988,8/1/2018
92641 American Way,6/20/1965,1/25/2021
2 Dryden Plaza,12/20/1995,4/26/2017
47 Hermina Way,6/22/2003,1/26/2019
8285 Blackbird Drive,4/9/1961,7/14/2017
88 Mccormick Crossing,11/26/1998,7/5/2021
01 Golf Course Way,5/29/1979,3/31/2017
0 Straubel Terrace,3/20/1990,7/18/2021
412 Columbus Road,8/28/1965,8/21/2020
309 Merry Place,6/6/1986,2/18/2019
53 Carioca Terrace,9/3/1985,5/26/2021
143 Mallard Point,7/18/1964,3/3/2018
00 Pepper Wood Court,3/17/1963,2/17/2018
48 Oneill Court,6/9/2002,6/26/2019
4065 Montana Junction,4/9/1966,9/30/2019
28 Northview Avenue,6/18/1992,11/8/2017
98 Morningstar Junction,5/2/2005,3/21/2017
41 8th Road,9/21/1965,6/6/2018
646 Novick Way,10/21/1981,5/28/2018
3 Clemons Hill,8/25/1973,10/5/2016
4449 Butternut Road,5/25/1984,9/11/2019
9939 Warbler Circle,5/30/1962,1/14/2017
3086 West Center,4/26/1963,5/14/2019
5018 4th Terrace,2/19/1977,12/12/2019
8003 Onsgard Lane,9/25/1961,1/30/2020
84 Aberg Avenue,8/25/1975,1/5/2018
5 Manufacturers Parkway,4/28/1998,4/9/2019
24 Mariners Cove Junction,9/24/1987,10/17/2020
6542 Monument Place,7/9/1981,2/18/2020
53 Crest Line Pass,2/14/1967,10/11/2017
8 Schlimgen Parkway,5/26/1988,4/19/2019
9 Mendota Park,1/10/1996,4/13/2020
3012 Evergreen Drive,8/29/1996,6/1/2018
586 Sauthoff Street,1/14/1985,6/7/2021
34096 Jenna Circle,7/20/1968,1/5/2020
3 Shoshone Point,2/18/1969,7/11/2020
8 Sundown Road,8/22/1983,12/16/2016
3543 Tennyson Avenue,10/19/1991,1/28/2017
917 Morningstar Pass,3/29/1998,2/4/2018
12869 Old Gate Terrace,7/6/1991,1/14/2017
1966 Buhler Park,12/25/1979,7/11/2020
09503 Pond Circle,7/19/1968,12/3/2016
205 Union Park,3/30/1965,2/27/2019
50 Stang Way,7/12/1972,4/20/2021
7 8th Street,2/6/1973,6/26/2021
631 Esch Plaza,7/1/1985,2/22/2019
013 Sunfield Crossing,8/16/1965,4/13/2020
811 Debs Road,1/26/2003,5/1/2018
95193 Derek Point,11/22/1964,10/30/2016
9900 Valley Edge Plaza,1/12/1990,3/29/2018
0367 Mandrake Place,8/30/1984,12/21/2019
88 Trailsway Center,10/16/1981,12/21/2017
6340 Armistice Parkway,11/30/1994,3/22/2020
48 Esch Point,8/25/1983,8/26/2017
54247 Melby Parkway,4/24/1999,7/20/2018
80 Eagle Crest Alley,5/6/1999,12/29/2019
49 Portage Plaza,1/30/1994,7/18/2017
1 Saint Paul Road,11/10/1975,11/27/2020
0 Melby Junction,9/21/1979,5/10/2017
1872 Manley Crossing,12/15/1970,12/24/2017
39 Harper Crossing,12/9/1964,8/18/2021
40 Dahle Drive,12/22/1999,7/14/2018
09 Packers Plaza,3/20/1987,1/4/2021
1638 Grover Way,9/24/1970,10/22/2017
15567 Merchant Pass,3/22/1965,7/19/2021
9006 Springs Parkway,10/16/1991,8/27/2018
8367 Hanover Junction,2/20/2005,9/18/2017
64 Hazelcrest Road,10/22/1984,1/18/2018
1 Pleasure Circle,12/21/1961,4/22/2020
74350 Declaration Hill,12/27/1969,1/29/2019
68478 Pawling Point,12/9/1969,12/19/2019
92758 Arkansas Center,6/3/1962,6/4/2021
15562 Texas Pass,6/23/1995,5/1/2021
78 Portage Hill,12/6/1986,1/5/2017
150 Havey Center,3/21/1970,2/18/2017
111 Pankratz Parkway,6/19/1968,4/5/2018
90948 Larry Alley,1/22/1990,7/21/2017
5 Sunfield Plaza,8/18/1994,10/10/2017
54326 Stang Lane,6/20/1981,12/26/2016
2 Vermont Hill,8/5/1989,3/19/2021
45407 Victoria Terrace,12/29/1984,12/25/2020
46445 Cardinal Place,5/4/1974,4/23/2017
964 Pond Park,11/27/1992,11/12/2019
0 Mcbride Park,11/3/1963,6/20/2021
1639 Springs Court,9/9/1961,3/15/2019
03 Independence Court,8/16/1964,1/4/2021
33 Swallow Road,7/16/1985,11/26/2017
25 Monument Trail,6/7/1998,5/7/2018
56879 American Ash Drive,2/1/1971,1/11/2021
11185 Maple Street,5/14/1993,6/17/2020
913 Westend Crossing,9/23/2002,4/21/2019
784 Sachtjen Drive,2/24/2003,5/25/2019
21934 Coolidge Junction,3/8/1966,8/3/2018
43609 Clove Park,10/14/2000,10/7/2020
90450 Lillian Crossing,11/9/1966,9/29/2018
21 Maywood Way,1/26/2005,1/25/2017
3192 Transport Lane,1/22/2004,2/28/2021
184 Cottonwood Trail,12/1/1965,4/19/2018
59 Caliangt Avenue,3/30/1994,7/26/2019
519 Weeping Birch Trail,8/20/1980,3/26/2019
3878 7th Lane,9/11/1983,5/14/2017
00948 Anniversary Plaza,9/8/1988,11/15/2017
03 Jana Trail,3/24/1997,2/11/2017
9 Dennis Terrace,2/8/1988,4/4/2020
63266 Scoville Parkway,6/24/1985,3/22/2018
90570 Heffernan Road,12/11/1962,2/23/2020
0452 Del Sol Pass,1/14/1974,3/15/2019
2115 Meadow Ridge Junction,12/22/2002,2/15/2021
364 Graedel Circle,2/11/1997,6/16/2017
936 Red Cloud Pass,10/8/1972,5/2/2019
0687 Kennedy Trail,1/16/1978,12/12/2018
3262 Hintze Court,2/11/1965,8/23/2020
50801 Sugar Lane,5/30/1985,10/10/2020
03454 Pennsylvania Avenue,12/4/2000,9/9/2020
3738 Union Pass,12/25/1979,9/15/2018
1609 Kings Drive,8/18/1988,10/15/2016
3494 Dexter Center,6/16/1977,4/2/2018
61819 Veith Hill,6/13/1967,4/2/2020
8 Grim Junction,5/1/2002,12/10/2020
4 Kedzie Pass,2/14/2005,4/1/2019
9 Mcbride Hill,5/16/1988,7/19/2020
06 Ludington Way,5/16/1997,7/18/2017
7481 Moland Court,10/11/2001,10/30/2019
08700 Caliangt Pass,4/14/1998,6/8/2019
7 Rutledge Hill,9/22/1975,5/29/2020
64604 Eagan Road,5/6/1998,4/9/2017
448 Nancy Road,5/21/1992,5/20/2020
4103 Goodland Junction,6/4/1961,6/23/2020
62 Mockingbird Junction,4/14/2003,6/5/2021
168 Londonderry Terrace,8/31/1996,7/21/2018
56138 Fulton Terrace,2/28/1967,7/27/2018
0 Pond Street,5/15/1980,2/26/2021
51 Dapin Street,7/11/1988,6/27/2017
6 Rutledge Drive,11/14/1987,9/16/2018
65805 Fordem Terrace,9/6/1970,12/7/2016
54 Oak Hill,7/19/1971,4/19/2019
72 Beilfuss Point,12/30/1991,4/15/2020
36 Scott Terrace,3/4/1962,11/22/2016
23795 Dakota Lane,11/22/1991,11/26/2020
0 Talmadge Junction,10/20/1985,2/27/2019
0 Nobel Park,11/29/1993,11/7/2017
3680 Butterfield Alley,12/2/1969,6/2/2020
1 Old Gate Trail,7/21/1989,8/3/2018
5 Cardinal Way,8/25/1962,10/12/2018
94 Mendota Alley,6/19/1989,8/13/2020
209 Scoville Way,1/21/1995,2/20/2019
70 Karstens Parkway,5/27/1983,7/21/2020
5 Corben Park,9/28/1992,1/23/2018
55 Fuller Pass,11/10/1977,5/14/2018
766 Green Ridge Court,1/23/1991,11/25/2016
630 Green Ridge Point,11/3/2002,3/11/2020
360 Kingsford Circle,6/18/2002,2/23/2017
2280 Carpenter Terrace,6/16/1985,9/7/2018
614 Hauk Plaza,9/8/1983,6/21/2017
7306 High Crossing Junction,6/1/1981,4/17/2020
22749 David Center,7/27/1989,1/15/2018
25959 Del Sol Place,3/27/1991,6/25/2021
9 Waywood Plaza,4/28/1974,6/8/2020
63827 5th Parkway,5/30/2004,3/20/2018
32 Dennis Court,4/30/1993,1/23/2018
415 Kingsford Center,11/28/1997,2/12/2021
942 Barby Alley,11/30/1990,11/16/2016
93540 Harper Avenue,5/21/1963,11/10/2020
93 Granby Hill,6/9/1984,3/18/2018
5 Scoville Street,7/23/1974,11/5/2018
5008 Quincy Alley,10/18/1991,7/6/2017
55575 Hansons Street,8/18/2005,7/27/2019
37536 Ilene Way,10/25/1992,2/8/2021
26698 Birchwood Court,9/6/1962,7/2/2019
46 Clemons Road,9/7/1983,10/21/2017
06939 Lakeland Trail,2/6/1988,1/29/2020
5942 Merrick Road,1/29/1995,1/19/2020
776 Hoffman Way,6/4/1986,12/4/2017
7 Mccormick Drive,2/27/1964,10/8/2019
0565 Toban Parkway,5/11/1973,7/24/2020
72425 Cordelia Park,3/29/2003,3/27/2018
7 Green Ridge Way,9/29/1986,9/24/2017
31 Derek Center,9/2/1962,3/28/2020
611 Hovde Circle,4/5/1964,3/7/2021
1927 Dexter Circle,8/17/1970,11/18/2016
75 Mcguire Pass,7/19/1992,9/25/2019
60026 Twin Pines Place,6/8/1997,6/24/2019
5 Village Green Circle,9/19/1966,1/10/2018
4250 Mesta Way,11/15/2004,10/24/2018
67 Montana Place,5/20/1998,7/22/2021
8 Washington Terrace,5/5/1973,12/22/2016
64 Kim Terrace,8/8/1998,2/5/2021
122 Dwight Point,6/25/1980,12/7/2017
81 Mccormick Way,9/21/1963,5/29/2018
8698 Barnett Point,1/18/1968,1/5/2019
17 Goodland Court,5/13/1975,7/18/2021
80 Fordem Place,11/12/1997,3/7/2020
8 Swallow Park,7/7/1987,8/29/2017
3 Nova Trail,5/5/1987,8/7/2019
29 Express Park,7/16/1967,7/20/2017
7994 Eastwood Park,7/23/2002,6/16/2017
2 Heffernan Park,5/3/1991,1/20/2019
65951 Memorial Lane,12/24/2000,11/15/2016
5 Hauk Alley,8/13/1999,7/9/2019
15 Straubel Crossing,7/29/1995,9/19/2018
22 Monterey Terrace,11/28/1976,10/19/2016
12 South Plaza,4/1/1968,10/29/2018
28 Reinke Road,10/28/1985,5/17/2017
4 Cody Point,9/8/1984,4/17/2017
0 Leroy Parkway,5/31/1995,9/27/2020
87117 Oakridge Parkway,3/31/1977,9/12/2021
0537 Coolidge Way,9/9/2002,4/5/2018
42 Springs Place,3/1/2002,9/5/2017
527 Mifflin Trail,7/2/1965,12/10/2018
7 Dorton Point,1/23/1972,7/9/2020
2432 Badeau Plaza,9/7/1989,3/23/2021
5986 Starling Junction,5/25/1987,12/30/2019
5577 Thackeray Center,8/10/2003,3/23/2019
739 Garrison Road,10/12/1996,8/8/2017
77 Grover Avenue,6/15/1966,11/30/2019
3 Transport Point,3/13/1983,8/25/2018
0168 Eastlawn Plaza,1/5/1983,6/1/2017
0 Mallory Street,1/18/1962,11/30/2018
0731 Thierer Street,8/2/2003,10/11/2019
179 Sunbrook Point,7/21/1966,12/25/2019
2751 Granby Alley,10/17/2004,2/11/2019
312 Claremont Alley,7/31/2000,1/3/2017
4778 Kim Place,6/7/1998,5/13/2020
141 Eliot Drive,9/17/1967,4/7/2021
1 Butterfield Place,9/22/1978,11/9/2016
2404 Erie Plaza,8/13/1971,2/21/2020
22 Banding Street,4/14/1997,6/27/2020
37695 Atwood Junction,11/1/1991,5/10/2018
8 Evergreen Plaza,7/14/1975,10/7/2020
98260 Ruskin Way,10/20/1982,6/22/2021
20 Barnett Center,4/16/1976,12/19/2020
64 1st Street,12/9/1977,7/15/2017
3 Florence Junction,11/6/1963,3/1/2021
1203 Dahle Trail,8/12/1970,8/4/2020
547 Schmedeman Hill,12/24/1985,5/15/2019
92 Beilfuss Crossing,2/26/2005,12/30/2018
8431 Del Mar Terrace,7/22/1987,4/23/2021
74983 Main Plaza,7/29/1976,6/14/2017
546 Golf View Circle,7/26/1970,4/20/2018
7819 Truax Pass,7/6/1998,4/14/2017
9 Cardinal Hill,1/6/1998,12/21/2018
11640 Erie Point,11/10/1977,12/31/2019
7 Loeprich Way,1/2/1994,3/29/2020
10 Village Court,8/24/1973,12/12/2019
844 Lyons Parkway,10/5/1961,10/3/2017
4 Red Cloud Hill,12/16/1989,1/28/2021
8 Spenser Park,11/15/1983,2/19/2018
89 Marcy Avenue,8/29/1991,12/25/2019
3312 Harbort Parkway,9/28/1986,6/22/2018
1 Cody Court,3/6/1979,11/24/2020
985 Waxwing Parkway,6/22/1997,12/27/2020
226 Londonderry Terrace,2/27/1985,8/12/2021
0 Arkansas Crossing,8/9/1994,9/21/2017
1278 Algoma Park,1/14/1986,3/18/2018
559 Bobwhite Lane,1/18/1994,3/11/2020
56 Glacier Hill Center,5/10/1980,5/7/2021
747 Carey Crossing,7/16/1994,3/7/2021
944 Mitchell Avenue,5/12/2004,6/11/2019
2237 Stone Corner Hill,8/18/1984,11/5/2019
6 Crowley Point,8/13/1980,5/19/2017
79 Del Sol Plaza,4/30/1967,8/28/2019
0 Reinke Crossing,12/9/1961,6/23/2018
60097 Susan Circle,5/28/1966,6/6/2020
69 Schmedeman Parkway,6/5/1986,7/12/2018
74830 Chive Way,9/9/1967,4/4/2017
689 Sommers Center,11/8/2000,1/27/2017
75217 Valley Edge Park,8/29/1990,8/22/2019
1 Dunning Park,1/5/1987,6/28/2017
08615 Erie Plaza,2/9/1980,6/3/2021
81347 Bayside Avenue,9/15/1973,11/5/2018
0 Thierer Center,7/21/1980,3/29/2019
58870 Arapahoe Trail,11/2/1981,3/16/2019
38306 Schiller Terrace,4/5/1985,5/24/2019
01 Novick Trail,7/10/1999,9/26/2018
8 Northview Park,4/10/1988,3/11/2018
1293 Oakridge Center,4/8/1975,1/1/2019
84089 Raven Trail,4/28/1982,11/18/2016
38549 Mariners Cove Court,4/3/1986,11/17/2020
2511 Pennsylvania Alley,4/10/1970,5/11/2020
52822 Merrick Street,12/12/1990,6/2/2020
151 Ryan Circle,3/17/1971,4/10/2018
81 John Wall Park,4/27/1966,3/9/2019
58395 Artisan Park,9/18/1981,9/24/2020
30198 Prairieview Terrace,10/25/1995,10/26/2017
7 Westport Way,10/14/1970,7/18/2018
185 Mayer Place,12/8/1980,12/21/2016
2 Larry Hill,7/16/1962,2/29/2020
855 Cordelia Point,6/23/1977,2/12/2017
9015 Continental Alley,7/14/1966,12/6/2019
53492 Iowa Drive,4/1/1996,7/27/2018
41525 Northport Junction,9/7/1978,7/30/2017
30 West Hill,4/8/1987,1/23/2017
5 Goodland Lane,6/8/1985,3/15/2017
48707 Mccormick Road,7/26/1995,12/9/2016
0 4th Alley,8/27/1983,8/4/2018
371 Lawn Trail,8/15/1971,5/8/2020
07 Forest Dale Lane,10/7/1997,4/29/2018
44 Brickson Park Drive,8/5/2000,1/28/2018
