CustomerID,FirstName,LastName,Email,Street,City,State,Zipcode,SignupDate,DOB,Gender,Height,Weight,Ability,BootSize,BSL
21,Eduardo,English,english.e@hotmail.com,248 Hazelcrest Avenue,Idaho Falls,ID,47586-8619,2/15/2017,11/10/1982,m,71,140,1,26.5,306
22,Peyton,Chase,chase.p@yahoo.com,9411 Katie Street,Burlington,VT,43918-2909,8/3/2018,6/26/1981,m,70,203,3,24.5,283
23,Payton,Riley,riley.p@yahoo.com,61965 Helena Pass,Twin Falls,ID,76615-7168,2/7/2020,6/26/1973,f,62,147,2,25.5,294
24,Sophia,Leblanc,leblanc.s@icloud.com,965 Esch Pass,Provo,UT,29997-8911,11/5/2020,7/12/1972,f,68,125,3,29.5,338
25,Mckenzie,Jackson,jackson.m@live.com,06 Haas Alley,Falmouth,TEST,38070-7361,1/16/2017,10/18/1991,f,66,140,1,22.5,263
26,Cassandra,Sheppard,sheppard.c@live.com,6 Beilfuss Point,Burlington,VT,14581-5073,1/22/2018,4/11/1989,f,64,121,2,24.5,284
27,Daniel,Escobar,escobar.d@yahoo.com,685 Mosinee Hill,Buffalo,WY,28534-9136,10/19/2016,4/19/1998,m,71,188,3,27.5,314
28,Lucas,Vincent,vincent.l@zoho.com,72090 Rockefeller Junction,Orchards,WA,46815-5416,11/25/2017,1/26/1981,m,66,166,1,24.5,286
29,Brianna,Olsen,olsen.b@zoho.com,279 Ruskin Drive,Rochester,NY,69936-3324,8/1/2019,12/30/1979,f,60,112,2,24.5,286
30,Sergio,Caldwell,caldwell.s@zoho.com,358 Kennedy Place,Brunswick,ME,77941-9157,9/24/2020,12/7/1977,m,70,144,3,24.5,287
31,Kaden,Hardy,hardy.k@protonmail.com,86 John Wall Place,Lakewood,CO,92501-8732,9/10/2017,5/14/2001,m,70,142,1,23.5,274
32,Colton,Cortez,cortez.c@gmail.com,379 Elgar Avenue,Medford,OR,70187-8342,12/2/2017,5/4/1982,m,66,175,2,27.5,314
33,Devon,Taylor,taylor.d@aol.com,921 Clarendon Alley,Durango,CO,19708-4984,12/17/2018,1/20/2000,m,74,210,3,26.5,302
34,Victor,Ballard,ballard.v@zoho.com,35 Rutledge Park,Santa Fe,NM,50368-9581,8/22/2017,10/14/1993,m,68,120,1,27.5,316
35,Kennedy,Arnold,arnold.k@aol.com,941 Kings Street,Eugene,OR,18912-8833,10/24/2020,7/18/1962,f,63,150,3,24.5,284
36,Haley,Barron,barron.h@live.com,79 Di Loreto Junction,Worland,WY,84973-2638,4/4/2020,5/4/1972,f,63,171,3,25.5,292
37,Hayden,Mckee,mckee.h@zoho.com,6 Bunker Hill Trail,Utica,NY,90984-2205,12/21/2017,5/11/1972,m,69,197,1,28.5,326
38,Catherine,Crawford,crawford.c@gmail.com,7629 Clyde Gallagher Court,Santa Fe,NM,29910-1246,9/14/2017,1/13/1977,f,64,139,3,24.5,282
39,Chase,Sandoval,sandoval.c@gmx.com,16917 Pearson Trail,Medford,OR,93443-8357,8/28/2021,12/1/1994,m,74,174,2,25.5,292
40,Caleb,Poole,poole.c@live.com,151 Ryan Circle,Cheyenne,WY,22060-5198,6/6/2021,10/29/1985,m,75,153,3,24.5,283
41,Erik,Mclean,mclean.e@zoho.com,628 Coleman Pass,Springfield,OR,47214-2512,7/8/2020,8/25/1991,m,71,161,3,27.5,316
42,Jose,Conrad,conrad.j@hotmail.com,597 Butternut Street,Rio Rancho,NM,27031-4323,9/13/2018,10/23/1988,m,76,159,2,25.5,293
43,Mario,Jones,jones.m@gmail.com,510 1st Street,Evergreen,MT,47879-3109,6/27/2017,11/12/2001,m,72,159,3,25.5,293
44,Daniela,Baxter,baxter.d@aol.com,68478 Pawling Point,Colchester,VT,74103-3628,11/9/2016,8/13/1965,f,63,127,2,23.5,278
45,Christian,Mcpherson,mcpherson.c@live.com,4 Montana Drive,Colchester,VT,25928-7440,10/1/2018,2/3/2003,m,68,188,2,23.5,275
46,Kathryn,Leblanc,leblanc.k@live.com,1136 Hollow Ridge Street,Bellevue,ID,93588-3666,11/2/2018,9/17/2001,f,58,112,2,22.5,263
47,Ian,Shea,shea.i@protonmail.com,61965 Helena Pass,New York,NY,27480-2176,1/16/2020,10/2/1964,m,68,132,2,28.5,324
48,Braden,Hubbard,hubbard.b@zoho.com,7 New Castle Street,Barre,VT,81634-2941,5/6/2019,5/2/1981,m,64,172,1,24.5,283
49,Kaden,Davies,davies.k@protonmail.com,971 Brentwood Center,Albuquerque,NM,76683-1462,10/1/2018,10/20/1982,m,74,172,2,22.5,263
50,Reagan,Mccall,mccall.r@zoho.com,2 Green Ridge Center,Gallup,NM,96550-6090,5/21/2019,5/16/1988,f,64,148,2,24.5,285
51,Edwin,Coffey,coffey.e@aol.com,3 Fuller Street,Sandy,UT,74828-3242,4/9/2017,6/16/2003,m,69,139,1,28.5,326
52,Angel,Figueroa,figueroa.a@live.com,0 Toban Point,Bellevue,ID,72670-6759,12/28/2018,5/3/1971,f,63,157,2,25.5,292
53,Erica,Stein,stein.e@yahoo.com,66 Bowman Terrace,Farmington,NM,78043-4148,1/4/2019,3/8/1972,f,62,167,3,26.5,305
54,Jessica,Gibbs,gibbs.j@icloud.com,41 Hazelcrest Way,Laurel,MT,92689-3791,10/23/2016,4/20/1979,f,68,158,3,28.5,325
55,Tanner,Frederick,frederick.t@gmx.com,3491 Lindbergh Place,Mount Vernon,WA,86773-2018,4/5/2017,7/23/1982,m,68,199,1,23.5,277
56,Preston,Galvan,galvan.p@protonmail.com,1536 Hagan Hill,Denver,CO,74198-1067,11/27/2016,1/6/2000,m,71,190,3,28.5,322
57,Jason,Cross,cross.j@gmx.com,24 Dexter Court,Layton,UT,98854-5029,10/10/2016,3/24/2002,m,67,206,1,25.5,294
58,Eduardo,Bernard,bernard.e@zoho.com,41 Harper Junction,Salt Lake City,UT,51740-4722,5/19/2019,2/23/1983,m,63,176,2,24.5,288
59,Adrianna,Mccarthy,mccarthy.a@yahoo.com,84 Roxbury Plaza,New York,NY,84783-3473,5/24/2018,9/13/1981,f,64,155,3,25.5,297
60,Derek,Moreno,moreno.d@icloud.com,3 Summit Trail,Barre city,VT,68992-7819,4/5/2018,2/9/1992,m,69,166,2,27.5,314
61,Isaac,Sanford,sanford.i@zoho.com,8977 Rowland Place,Pullman,WA,29699-9109,5/1/2021,6/26/1999,m,73,139,2,24.5,285
62,Colin,Copeland,copeland.c@aol.com,84089 Warrior Place,Camas,WA,96350-3609,11/8/2018,12/24/1989,m,73,163,1,28.5,323
63,Jesse,Blevins,blevins.j@icloud.com,1 Ruskin Circle,Salt Lake City,UT,51104-3603,7/18/2020,11/6/1981,m,66,231,3,27.5,313
64,Robert,Perkins,perkins.r@gmx.com,49 6th Court,Parma,ID,49716-7834,6/13/2020,3/20/1979,m,73,241,2,26.5,304
65,Caleb,Simpson,simpson.c@yahoo.com,324 Dwight Alley,Polson,MT,23860-3201,10/22/2019,8/15/1961,m,68,166,2,25.5,292
66,Luis,Underwood,underwood.l@zoho.com,5709 Scoville Crossing,Fremont,CA,91446-4690,1/29/2019,3/25/2004,m,69,178,3,25.5,298
67,Logan,Snyder,snyder.l@zoho.com,65 Sundown Terrace,Laramie,WY,43050-6900,12/5/2020,5/4/1972,m,71,159,1,26.5,304
68,Shawn,Burch,burch.s@icloud.com,1 Dunning Park,Portland,OR,74565-6720,2/8/2019,2/9/1984,m,74,218,3,27.5,317
69,Nicolas,Ross,ross.n@zoho.com,2696 Sycamore Pass,Meridian,ID,20327-5776,4/10/2018,12/6/1979,m,70,160,1,25.5,297
70,Sofia,Aguilar,aguilar.s@protonmail.com,497 Meadow Valley Crossing,Nampa,ID,78831-9037,2/27/2017,7/4/1979,f,66,139,2,25.5,293
71,Andrea,Trevino,trevino.a@yahoo.com,0 Utah Hill,Aurora,CO,42638-7436,5/15/2017,2/26/2005,f,63,126,2,26.5,308
72,Jeffrey,Meyers,meyers.j@gmail.com,742 Sundown Circle,Shelburne,VT,87151-7402,3/22/2018,7/27/1995,m,67,136,2,26.5,304
73,Gabriel,Jordan,jordan.g@hotmail.com,547 Schmedeman Hill,Medford,OR,19734-3502,3/12/2020,10/25/1975,m,67,155,2,24.5,287
74,Faith,Robbins,robbins.f@live.com,3 Cody Junction,Jackson,WY,69143-6563,6/10/2017,4/8/2002,f,63,136,3,25.5,295
75,Erin,Parks,parks.e@icloud.com,454 Huxley Way,Evergreen,MT,37540-4985,10/25/2018,10/16/1962,f,64,143,2,27.5,317
76,Jake,Villarreal,villarreal.j@live.com,4 Basil Hill,Springfield,OR,94918-4942,12/23/2020,3/18/1970,m,75,198,3,26.5,306
77,Oscar,Tapia,tapia.o@protonmail.com,5 Sunfield Plaza,Oakland,CA,63911-3082,4/5/2018,5/21/1992,m,70,125,3,25.5,293
78,Jonathan,Roth,roth.j@gmail.com,024 Prairieview Crossing,Falmouth,ME,52284-1241,11/30/2017,4/16/1963,m,66,164,1,25.5,295
79,Angelica,Davenport,davenport.a@icloud.com,570 Arizona Court,Portland,ME,63533-7373,12/3/2020,10/27/1964,f,59,121,3,24.5,287
80,Travis,Martin,martin.t@protonmail.com,229 Mccormick Crossing,Bend,OR,11892-9041,5/28/2019,7/5/1989,m,70,152,2,28.5,325
81,Payton,Burns,burns.p@zoho.com,464 Blue Bill Park Terrace,Provo,UT,43897-1462,7/10/2019,6/18/1968,f,63,120,1,23.5,272
82,Jacqueline,Ellison,ellison.j@hotmail.com,8468 Mcbride Place,Sanford,ME,20067-7330,4/16/2018,6/30/1966,f,62,159,2,23.5,277
83,Dylan,Stanley,stanley.d@zoho.com,4778 Kim Place,Walla Walla,WA,68145-2087,7/17/2017,8/29/1973,m,71,148,3,25.5,295
84,Samuel,Church,church.s@hotmail.com,0 Talmadge Junction,West Jordan,UT,78313-8156,1/29/2018,3/19/2003,m,69,187,3,25.5,298
85,Hector,Jennings,jennings.h@hotmail.com,3 Karstens Way,Sheridan,WY,16957-3996,10/19/2020,8/13/1980,m,73,227,3,24.5,287
86,Bryson,Johnson,johnson.b@gmail.com,7 Eagle Crest Avenue,Roseburg,OR,51976-1830,8/13/2017,9/7/1992,m,64,153,2,26.5,304
87,Anna,Browning,browning.a@icloud.com,144 Claremont Avenue,Freeport,NY,84875-3524,1/5/2017,8/17/1981,f,64,154,2,23.5,278
88,Alan,Hodges,hodges.a@gmx.com,0 Union Drive,Medford,OR,98446-8892,6/7/2021,10/23/1989,m,64,195,3,26.5,305
89,Carson,Sutton,sutton.c@hotmail.com,1554 Forest Run Place,Iona,ID,94747-3874,3/31/2017,10/21/1998,m,61,149,3,26.5,308
90,Nevaeh,Levy,levy.n@yahoo.com,909 International Center,Polson,MT,66643-5192,11/6/2020,8/24/1961,f,65,140,3,23.5,272
91,Cesar,Reynolds,reynolds.c@icloud.com,1 Merry Crossing,Williston,VT,11794-9579,6/1/2018,8/9/1972,m,61,152,2,26.5,304
92,Cole,Dodson,dodson.c@hotmail.com,00671 Division Crossing,Norwalk,CA,97871-9171,11/13/2017,8/14/1989,m,71,149,3,24.5,285
93,Erik,Perkins,perkins.e@yahoo.com,5 Cascade Avenue,Farmington,NM,13015-1024,3/5/2020,2/3/1967,m,65,138,3,27.5,316
94,John,Hicks,hicks.j@gmx.com,39 Harper Crossing,Boulder,CO,21914-1908,4/25/2021,8/23/2004,m,66,135,3,23.5,278
95,John,Brown,brown.j@protonmail.com,53 Clyde Gallagher Place,Falmouth,TEST,35734-1666,2/15/2020,11/28/1963,m,71,172,2,26.5,302
96,Erik,Cardenas,cardenas.e@zoho.com,818 Russell Way,Pueblo,CO,26905-6301,12/30/2016,3/28/1999,m,69,179,3,24.5,286
97,Elijah,Perry,perry.e@live.com,1916 Holy Cross Street,Bend,OR,16625-3477,4/27/2018,2/9/1980,m,70,177,2,25.5,298
98,Adam,Huynh,huynh.a@zoho.com,2 Oxford Lane,Farmington,NM,72606-3264,11/22/2018,2/20/1987,m,76,164,2,24.5,282
99,Wesley,Blair,blair.w@gmail.com,5027 Montana Junction,Barre city,VT,77312-4327,7/30/2019,1/20/2001,m,66,154,3,30.5,346
100,Savannah,Lin,lin.s@hotmail.com,997 Dahle Trail,Sidney,MT,50351-6267,10/15/2018,7/16/1966,f,63,154,3,22.5,263
101,Tanner,Lowe,lowe.t@yahoo.com,7 Mitchell Lane,New York,NY,28969-1004,9/14/2019,5/17/1985,m,68,171,3,25.5,292
102,Lucas,Lambert,lambert.l@icloud.com,11185 Maple Street,Chico,CA,72916-8198,2/24/2020,7/16/1995,m,69,150,3,25.5,293
103,Madelyn,Henson,henson.m@aol.com,614 Kingsford Road,Colchester,VT,33778-5685,6/14/2019,12/12/1969,f,63,135,3,23.5,274
104,Alexander,Castro,castro.a@aol.com,1165 Namekagon Drive,Mount Vernon,WA,65402-5607,9/20/2017,2/13/1983,m,70,114,3,25.5,293
105,Cassidy,Giles,giles.c@zoho.com,09231 Goodland Park,Saco,ME,40497-5277,1/27/2020,8/21/1991,f,64,127,2,24.5,283
106,Tyler,Mercer,mercer.t@icloud.com,21 Browning Trail,Barre city,VT,50942-1235,6/16/2017,11/17/2003,m,75,131,3,26.5,302
107,Gage,Horne,horne.g@aol.com,9 Homewood Alley,Colchester,VT,84665-3555,12/27/2017,11/26/1986,m,68,200,2,26.5,305
108,Jeffrey,Morrison,morrison.j@hotmail.com,1 Birchwood Drive,Big Sky,MT,43681-2845,3/8/2018,5/20/1977,m,71,208,2,26.5,306
109,Daniel,Wolfe,wolfe.d@gmail.com,9 Dennis Terrace,Tualatin,OR,46274-2379,6/25/2021,5/5/2001,m,73,196,1,27.5,315
110,Wyatt,Abbott,abbott.w@icloud.com,260 Muir Trail,Gallup,NM,96435-9581,4/12/2017,6/21/1970,m,69,179,3,29.5,332
111,Brady,Hancock,hancock.b@icloud.com,7670 Stoughton Avenue,Cheyenne,WY,21863-4750,4/29/2018,2/6/1999,m,70,188,2,27.5,314
112,Mark,Khan,khan.m@protonmail.com,8956 Monica Hill,Biddeford,ME,21770-3419,9/2/2017,8/2/1967,m,74,111,3,29.5,333
113,Trevor,Ellis,ellis.t@gmx.com,474 Esker Alley,Chico,CA,28597-9828,5/2/2020,12/13/2003,m,69,138,3,25.5,293
114,Carson,Graves,graves.c@gmail.com,22749 David Center,Saco,ME,11685-4445,2/18/2017,2/5/1977,m,74,157,3,28.5,324
115,Naomi,Tran,tran.n@live.com,3012 Evergreen Drive,Milton,VT,55247-9768,10/21/2017,10/28/1988,f,64,162,3,24.5,288
116,Antonio,Arroyo,arroyo.a@live.com,1219 Prairie Rose Trail,Fort Collins,CO,36948-4072,2/15/2020,9/27/1993,m,71,185,3,26.5,306
117,Oliver,Ray,ray.o@icloud.com,597 Nova Court,Buffalo,NY,57134-7604,9/28/2021,12/28/2003,m,67,149,3,27.5,313
118,Ian,Dudley,dudley.i@live.com,58395 Artisan Park,Whitefish,MT,55593-3106,6/2/2020,10/10/1987,m,73,171,3,29.5,332
119,Brian,Velez,velez.b@gmx.com,02298 Merry Point,Bellevue,ID,78793-4854,10/7/2020,3/7/1995,m,71,186,2,30.5,348
120,Carlos,Mooney,mooney.c@live.com,988 Lerdahl Plaza,Seattle,WA,29225-4474,10/5/2020,7/12/1991,m,72,194,3,26.5,307
121,Maxwell,Franklin,franklin.m@aol.com,0860 Graedel Pass,Gallup,NM,47043-4983,10/22/2017,12/3/1977,m,67,179,2,26.5,302
122,Josiah,Smith,smith.j@hotmail.com,2355 Oak Valley Parkway,Falmouth,ME,56185-5958,12/30/2016,12/12/1990,m,62,156,2,29.5,332
123,Jalen,Beard,beard.j@live.com,0565 Toban Parkway,Bellevue,ID,72838-8674,5/22/2018,11/5/1979,m,73,156,1,26.5,304
124,Miguel,Pennington,pennington.m@icloud.com,26698 Birchwood Court,Chico,CA,11427-6886,10/7/2020,12/18/1999,m,65,172,2,24.5,288
125,Martin,Gross,gross.m@protonmail.com,3 Chive Circle,Parma,ID,54506-9986,12/2/2017,10/22/1992,m,72,205,3,24.5,285
126,Eric,Cobb,cobb.e@gmx.com,72537 Schurz Alley,West Jordan,UT,72402-4463,8/28/2019,4/23/1971,m,74,175,2,26.5,307
127,Caden,Good,good.c@yahoo.com,1 Waxwing Court,Nampa,ID,24229-1171,2/1/2021,7/7/1972,m,71,124,1,29.5,337
128,Tyler,Murray,murray.t@protonmail.com,2443 Orin Road,Roswell,NM,42596-1222,2/12/2017,11/5/1970,m,70,139,3,27.5,313
129,Chelsea,Price,price.c@gmail.com,549 Vernon Street,Tualatin,OR,10124-4033,8/12/2021,8/5/1989,f,66,152,2,23.5,278
130,Raymond,Yoder,yoder.r@zoho.com,17 Goodland Court,Nampa,ID,33564-3423,5/15/2020,6/3/1990,m,72,181,3,26.5,305
131,Adrian,Page,page.a@zoho.com,5 Cardinal Way,Walla Walla,WA,82366-7775,12/12/2018,1/5/1995,m,74,194,2,30.5,346
132,Zachary,Paul,paul.z@zoho.com,7727 1st Trail,San Francisco,CA,94234-9423,8/27/2020,9/30/1999,m,69,158,3,27.5,315
133,Ian,Petty,petty.i@live.com,9590 Ridgeview Way,Portland,OR,62481-5725,1/1/2021,1/13/1977,m,73,149,2,28.5,326
134,Cole,George,george.c@gmx.com,547 Schmedeman Hill,Portland,OR,68463-3387,9/7/2018,8/1/2001,m,78,176,3,28.5,328
135,Serenity,Bradshaw,bradshaw.s@aol.com,614 Hauk Plaza,Sheridan,WY,66092-2268,4/20/2018,6/9/1999,f,60,126,3,24.5,283
136,Erik,Combs,combs.e@gmx.com,097 Jay Junction,Rigby,ID,39134-2839,4/23/2021,3/28/2003,m,68,160,3,24.5,285
137,Cristian,Booth,booth.c@hotmail.com,85607 Maple Circle,Shelburne,VT,96582-1163,4/14/2017,11/20/1980,m,70,139,3,25.5,292
138,Shawn,Diaz,diaz.s@gmail.com,00149 Blackbird Road,Boise,ID,10297-8031,5/26/2021,4/18/1970,m,69,168,2,28.5,325
139,Shawn,Gay,gay.s@gmail.com,66686 Warbler Terrace,Colorado Springs,CO,57415-8787,12/8/2018,11/13/1970,m,68,188,2,27.5,314
140,Devon,Jenkins,jenkins.d@aol.com,3450 New Castle Junction,Seattle,WA,11415-4314,8/21/2019,11/28/1997,m,72,155,3,25.5,297
141,Brandon,Hooper,hooper.b@protonmail.com,6114 Mockingbird Terrace,Bellingham,WA,36620-9001,8/12/2019,2/28/1969,m,75,176,3,27.5,312
142,Daisy,Larsen,larsen.d@zoho.com,2 Rowland Way,Laramie,WY,64219-7253,3/26/2021,8/16/1966,f,63,154,1,27.5,317
143,Jada,Solomon,solomon.j@aol.com,6 Old Gate Lane,Oakland,CA,26634-8295,6/6/2019,12/16/1980,f,61,118,2,22.5,264
144,Jeremiah,Barker,barker.j@live.com,60176 Hallows Parkway,Oakland,CA,45092-9979,1/23/2018,5/14/1994,m,70,137,2,27.5,317
145,Mya,Lewis,lewis.m@gmx.com,9731 Carioca Road,Logan,UT,15460-4608,2/13/2021,8/1/1976,f,62,107,3,26.5,308
146,Elijah,Sutton,sutton.e@hotmail.com,93 Granby Hill,Falmouth,ME,44750-9697,3/12/2019,4/9/1995,m,65,153,2,27.5,316
147,Isaac,Vang,vang.i@gmail.com,60877 Melvin Parkway,Essex,VT,62802-5217,9/5/2017,9/2/1961,m,70,141,3,27.5,317
148,Caleb,Bates,bates.c@gmx.com,1 Lakewood Crossing,Nampa,ID,76292-3815,7/27/2018,6/15/1983,m,72,189,1,25.5,296
149,Eric,Gibbs,gibbs.e@protonmail.com,68629 Old Shore Pass,Big Sky,MT,68657-1385,10/1/2017,2/16/1964,m,72,227,2,24.5,285
150,Ian,Rosales,rosales.i@gmx.com,4021 Elka Road,Butte,MT,36676-3241,1/19/2020,9/23/1974,m,69,164,3,22.5,264
151,Victor,Villarreal,villarreal.v@aol.com,395 Schlimgen Way,Twin Falls,ID,41450-5170,6/1/2017,7/1/1965,m,71,153,2,27.5,317
152,Chase,Barron,barron.c@hotmail.com,67818 Myrtle Court,Fort Collins,CO,42347-2227,2/24/2019,4/25/1979,m,71,118,2,27.5,314
153,Paul,Mercer,mercer.p@protonmail.com,2 Reindahl Street,Oakland,CA,23122-6088,6/2/2020,6/3/1970,m,69,208,3,27.5,318
154,Maxwell,Tanner,tanner.m@live.com,99069 Holy Cross Drive,San Jose,CA,27616-3027,10/15/2018,4/14/1981,m,71,181,3,24.5,286
155,Sara,King,king.s@zoho.com,17 Stoughton Way,Polson,MT,35718-7298,12/7/2018,4/9/1972,f,66,134,2,25.5,296
156,Tristan,Krueger,krueger.t@zoho.com,36 Havey Street,Big Sky,MT,49510-8688,11/26/2019,1/3/1962,m,69,173,3,29.5,336
157,Cristian,Sherman,sherman.c@gmail.com,3755 Badeau Park,Big Sky,MT,31095-1656,5/6/2021,10/5/1994,m,65,194,3,24.5,282
158,Jordan,Copeland,copeland.j@hotmail.com,1 Debs Lane,Buffalo,NY,37495-6217,3/27/2018,7/8/1987,m,65,183,1,27.5,314
159,Gregory,Stark,stark.g@yahoo.com,81977 Spaight Alley,Evergreen,MT,29660-8267,11/6/2017,1/1/1997,m,64,158,2,27.5,313
160,Cassandra,Montoya,montoya.c@gmx.com,71406 Hagan Road,Barre city,VT,79062-6559,5/9/2020,1/25/1989,f,68,172,3,28.5,322
161,Dominic,Luna,luna.d@protonmail.com,144 New Castle Terrace,Brunswick,ME,84963-9288,12/10/2019,8/19/1969,m,68,194,2,25.5,294
162,Chelsea,Mcguire,mcguire.c@hotmail.com,7577 Monument Road,Utica,NY,43695-4933,10/3/2021,3/24/1997,f,66,149,1,28.5,325
163,Sebastian,Peterson,peterson.s@hotmail.com,814 Village Lane,Brunswick,ME,21509-6880,1/18/2019,4/15/1992,m,71,129,3,26.5,308
164,Brooke,Wiley,wiley.b@live.com,325 Banding Trail,Buffalo,NY,44857-2667,2/18/2017,5/19/2000,f,67,166,1,26.5,306
165,Tyler,Ochoa,ochoa.t@hotmail.com,465 Ridgeview Road,Buffalo,NY,95133-3004,7/23/2018,12/30/1988,m,69,136,3,27.5,318
166,Skylar,Mcmillan,mcmillan.s@live.com,28 Hazelcrest Place,Bellingham,WA,73829-4499,5/14/2019,7/4/1995,f,64,132,2,26.5,305
167,Sara,Mullins,mullins.s@gmail.com,05 Manitowish Alley,Bellingham,WA,95056-7647,8/3/2018,4/4/1971,f,64,137,1,24.5,282
168,Kaleb,Martinez,martinez.k@icloud.com,30884 Lyons Place,Rochester,NY,86865-6748,7/28/2017,1/13/1982,m,70,164,3,28.5,326
169,Ian,Zuniga,zuniga.i@aol.com,1916 Holy Cross Street,Salt Lake City,UT,85444-7778,5/18/2017,9/23/1974,m,61,186,1,30.5,342
170,Sophia,Mcmillan,mcmillan.s@icloud.com,3265 Dixon Avenue,Kenmore,WA,82362-9451,4/30/2020,12/2/1991,f,65,113,3,24.5,285
171,Tristan,Kerr,kerr.t@aol.com,3 Monument Hill,Denver,CO,48298-6914,4/29/2018,3/2/1997,m,69,151,3,26.5,308
172,Spencer,Allison,allison.s@zoho.com,03 Mandrake Trail,Albany,NY,21365-8309,4/24/2017,8/28/1997,m,67,183,2,26.5,307
173,Shawn,Benton,benton.s@gmx.com,60077 Hintze Street,Salt Lake City,UT,19088-6913,7/19/2020,1/18/2002,m,76,198,3,26.5,303
174,Oscar,Carroll,carroll.o@zoho.com,84089 Warrior Place,Buffalo,NY,20893-9047,4/28/2020,7/4/1974,m,68,200,3,25.5,295
175,Benjamin,Lambert,lambert.b@icloud.com,1802 Charing Cross Place,Bozeman,MT,72391-9367,7/26/2021,4/9/1976,m,72,155,3,25.5,293
176,Kylee,Tapia,tapia.k@protonmail.com,25817 Londonderry Park,Norwalk,CA,70088-4244,3/18/2021,1/15/1973,f,69,146,2,24.5,287
177,Connor,Bryan,bryan.c@protonmail.com,76636 Saint Paul Road,Bellingham,WA,84102-6188,5/20/2018,6/9/1969,m,70,150,1,28.5,325
178,Xavier,Friedman,friedman.x@gmx.com,4479 Emmet Pass,Pueblo,CO,79096-8898,2/19/2019,10/9/2000,m,77,212,3,26.5,302
179,Hunter,Shea,shea.h@hotmail.com,1 Lien Center,Chico,CA,93361-9169,4/20/2017,9/30/1970,m,66,153,1,26.5,308
180,Jeremiah,Mcintosh,mcintosh.j@live.com,8089 Melby Parkway,Sanford,ME,27833-1039,1/9/2017,2/1/1971,m,67,143,1,26.5,308
181,Connor,Knapp,knapp.c@yahoo.com,337 Kipling Parkway,Oakland,CA,86605-2662,2/3/2018,12/27/1996,m,66,133,2,25.5,294
182,Dalton,Brady,brady.d@zoho.com,6 Old Gate Circle,Boulder,CO,47739-5039,7/23/2018,7/31/1968,m,68,128,3,27.5,313
